x,y,z,diff_x,diff_y,diff_z,d_x,d_y,d_z,d_n,di_x,di_y,di_z
63.00,-0.000897,72.00,63.00,-0.000520,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60.00,-0.001121,72.00,60.00,-0.000550,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
57.00,-0.002372,72.00,57.00,-0.001582,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
54.00,-0.003339,72.00,54.00,-0.002312,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51.00,-0.004643,72.00,51.00,-0.003367,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48.00,-0.006430,72.00,48.00,-0.004892,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45.00,-0.008186,72.00,45.00,-0.006373,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42.00,-0.010117,72.00,42.00,-0.008013,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39.00,-0.012806,72.00,39.00,-0.010383,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36.00,-0.015808,72.00,36.00,-0.013040,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33.00,-0.019082,72.00,33.00,-0.015964,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30.00,-0.022231,72.00,30.00,-0.018761,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27.00,-0.025679,72.00,27.00,-0.021844,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24.00,-0.029378,72.00,24.00,-0.025167,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21.00,-0.032567,72.00,21.00,-0.027972,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18.00,-0.036045,72.00,18.00,-0.031065,72.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
15.00,-0.038861,72.00,15.00,-0.033504,72.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
12.00,-0.042147,71.99,12.00,-0.036430,72.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
9.00,-0.044454,71.99,9.00,-0.038395,71.99,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
6.00,-0.046206,71.99,6.00,-0.039829,71.99,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
3.00,-0.047617,71.99,3.00,-0.040944,71.99,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
-0.000715,-0.048189,71.99,0.000094,-0.041242,71.99,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
-3.00,-0.048930,71.99,-3.00,-0.041732,71.99,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
-6.00,-0.048279,71.99,-6.00,-0.040856,71.99,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
-9.00,-0.047128,71.99,-9.00,-0.039520,71.99,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
-12.00,-0.045669,71.99,-12.00,-0.037926,71.99,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
-15.00,-0.043406,71.99,-15.00,-0.035588,72.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
-18.00,-0.040794,71.99,-18.00,-0.032963,72.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
-21.00,-0.037785,72.00,-21.00,-0.030013,72.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
-24.00,-0.034816,72.00,-24.00,-0.027174,72.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
-27.00,-0.031418,72.00,-27.00,-0.023973,72.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
-30.00,-0.028486,72.00,-30.00,-0.021302,72.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
-33.00,-0.025079,72.00,-33.00,-0.018222,72.00,0,-0.01,0.00,0.01,0,0.01,0.00
-36.00,-0.021336,72.00,-36.00,-0.014877,72.00,0,-0.01,0.00,0.01,0,0.01,0.00
-39.00,-0.018321,72.00,-39.00,-0.012333,72.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
-42.00,-0.015179,72.00,-42.00,-0.009719,72.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
-45.00,-0.012452,72.00,-45.00,-0.007563,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-48.00,-0.010088,72.00,-48.00,-0.005805,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-51.00,-0.007757,72.00,-51.00,-0.004112,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-54.00,-0.006331,72.00,-54.00,-0.003348,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-57.00,-0.004114,72.00,-57.00,-0.001796,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-60.00,-0.003181,72.00,-60.00,-0.001505,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-63.00,-0.001383,72.00,-63.00,-0.000294,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-66.00,-0.000263,72.00,-66.00,0.000333,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-69.00,-0.000357,72.00,-69.00,-0.000119,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-72.00,-0.000468,72.00,-72.00,-0.000414,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-75,0.000001,72,-75,0.000001,72,0,0,0,0,0,0,0
75,0.000001,69,75,0.000001,69,0,0,0,0,0,0,0
72.00,-0.000117,69.00,72.00,-0.000021,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69.00,-0.000479,69.00,69.00,-0.000135,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66.00,-0.001545,69.00,66.00,-0.000762,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63.00,-0.003318,69.00,63.00,-0.001933,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60.00,-0.006134,69.00,60.00,-0.004020,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
57.00,-0.009670,69.00,57.00,-0.006729,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
54.00,-0.013559,69.00,54.00,-0.009717,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51.00,-0.018574,69.00,51.00,-0.013771,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48.00,-0.024492,69.00,48.00,-0.018676,69.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
45.00,-0.030702,69.00,45.00,-0.023823,69.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
42.00,-0.038214,69.00,42.00,-0.030218,69.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
39.00,-0.046808,69.00,39.00,-0.037642,69.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
36.00,-0.056315,69.00,36.00,-0.045928,69.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
33.00,-0.066636,69.00,33.00,-0.054983,69.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
30.00,-0.077396,69.00,30.00,-0.064438,69.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
27.00,-0.088315,69.00,27.00,-0.074026,69.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
24.00,-0.099371,69.00,24.00,-0.083726,69.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00
21.00,-0.110134,69.00,21.00,-0.093120,69.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00
18.00,-0.120564,69.00,18.00,-0.102186,69.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00
15.00,-0.130190,68.99,15.00,-0.110470,69.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00
12.00,-0.139009,68.99,12.00,-0.117990,69.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00
9.00,-0.146402,68.99,9.00,-0.124145,69.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00
6.00,-0.152332,68.99,6.00,-0.128903,68.99,0.00,-0.02,0.00,0.02,0.00,0.02,0.00
3.00,-0.156488,68.99,3.00,-0.131960,68.99,0.00,-0.02,0.00,0.02,0.00,0.02,0.00
-0.001452,-0.158768,68.99,0.000094,-0.133222,68.99,0.00,-0.03,0.00,0.03,0.00,0.03,0.00
-3.00,-0.159632,68.99,-3.00,-0.133159,68.99,0.00,-0.03,0.00,0.03,0.00,0.03,0.00
-6.00,-0.158260,68.99,-6.00,-0.130971,68.99,0.00,-0.03,0.00,0.03,0.00,0.03,0.00
-9.00,-0.155416,68.99,-9.00,-0.127452,69.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00
-12.00,-0.150783,68.99,-12.00,-0.122316,69.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00
-15.00,-0.144638,68.99,-15.00,-0.115867,69.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00
-18.00,-0.136963,68.99,-18.00,-0.108109,69.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00
-21.00,-0.128474,69.00,-21.00,-0.099778,69.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00
-24.00,-0.119050,69.00,-24.00,-0.090764,69.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00
-27,-0.109110,69.00,-27.00,-0.081488,69.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00
-30.00,-0.098420,69.00,-30.00,-0.071718,69.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00
-33.00,-0.087440,69.00,-33.00,-0.061912,69.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00
-36.00,-0.076641,69.00,-36.00,-0.052542,69.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00
-39.00,-0.066141,69.00,-39.00,-0.043715,69.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00
-42.00,-0.055801,69.00,-42.00,-0.035279,69.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00
-45.00,-0.046985,69.00,-45.00,-0.028569,69.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00
-48.00,-0.038260,69.00,-48.00,-0.022121,69.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00
-51.00,-0.030433,69.00,-51.00,-0.016701,69.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
-54.00,-0.023411,69.00,-54.00,-0.012163,69.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
-57.00,-0.017002,69.00,-57.00,-0.008242,69.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
-60.00,-0.011377,69.00,-60.00,-0.005014,69.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
-63.00,-0.007114,69.00,-63.00,-0.002939,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-66.00,-0.003444,69.00,-66.00,-0.001110,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-69.00,-0.000920,69.00,-69.00,0.000065,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-72.00,-0.000222,69.00,-72.00,0.000017,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-75,0.000001,69,-75,0.000001,69,0,0,0,0,0,0,0
75,0.000001,66,75,0.000001,66,0,0,0,0,0,0,0
72.00,-0.000215,66.00,72.00,0.000002,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69.00,-0.001477,66.00,69.00,-0.000692,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66.00,-0.004304,66.00,66.00,-0.002580,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63.00,-0.008503,66.00,63.00,-0.005522,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60.00,-0.014516,66.00,60.00,-0.010022,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
57.00,-0.022082,66.00,57.00,-0.015878,66.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
54.00,-0.030816,66.00,54.00,-0.022748,66.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
51.00,-0.041130,66.00,51.00,-0.031076,66.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
48.00,-0.052485,66.00,48.00,-0.040340,66.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
45.00,-0.065558,66.00,45.00,-0.051226,66.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
42.00,-0.080000,66.00,42.00,-0.063388,66.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00
39.00,-0.096077,66.00,39.00,-0.077090,66.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00
36.00,-0.113279,66.00,36.00,-0.091829,66.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00
33.00,-0.131627,66.00,33.00,-0.107630,66.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00
30.00,-0.150774,66.00,30.00,-0.124157,66.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00
27.00,-0.170354,66.00,27.00,-0.141059,66.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00
24.00,-0.189598,66.00,24.00,-0.157579,66.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00
21.00,-0.208551,66.00,21,-0.173791,66.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00
18.00,-0.226388,66.00,18.00,-0.188895,66.00,0.00,-0.04,0.00,0.04,0.00,0.04,0.00
15.00,-0.242944,66.00,15.00,-0.202758,66.00,0.00,-0.04,0.00,0.04,0.00,0.04,0.00
12.00,-0.257794,66.00,12.00,-0.214987,66.00,0.00,-0.04,0.00,0.04,0.00,0.04,0.00
9.00,-0.270319,66.00,9.00,-0.224988,66.00,0.00,-0.05,0.00,0.05,0.00,0.05,0.00
6.00,-0.280422,66.00,6.00,-0.232690,66.00,0.00,-0.05,0.00,0.05,0.00,0.05,0.00
3.00,-0.287771,66.00,3.00,-0.237782,66.00,0.00,-0.05,0.00,0.05,0.00,0.05,0.00
-0.002101,-0.292257,66.00,0.000135,-0.240178,66.00,0.00,-0.05,0.00,0.05,0.00,0.05,0.00
-3.00,-0.293857,66.00,-3.00,-0.239887,66.00,0.00,-0.05,0.00,0.05,0.00,0.05,0.00
-6.00,-0.292318,66.00,-6.00,-0.236695,66.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00
-9.00,-0.288042,66.00,-9,-0.231050,66.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00
-12.00,-0.280796,66.00,-12,-0.222771,66.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00
-15.00,-0.270872,66.00,-15,-0.212198,66.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00
-18.00,-0.258577,66.00,-18.00,-0.199689,66.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00
-21.00,-0.243953,66.00,-21.00,-0.185313,66.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00
-24.00,-0.228108,66.00,-24.00,-0.170211,66.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00
-27.00,-0.210495,66.00,-27.00,-0.153851,66.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00
-30.00,-0.192189,66.00,-30.00,-0.137319,66.00,0.00,-0.05,0.00,0.05,0.00,0.05,0.00
-33.00,-0.172997,66.00,-33.00,-0.120432,66.00,0.00,-0.05,0.00,0.05,0.00,0.05,0.00
-36.00,-0.153718,66.00,-36.00,-0.103983,66.00,0.00,-0.05,0.00,0.05,0.00,0.05,0.00
-39.00,-0.134576,66.00,-39.00,-0.088185,66.00,0.00,-0.05,0.00,0.05,0.00,0.05,0.00
-42.00,-0.116150,66.00,-42.00,-0.073585,66.00,0,-0.04,0.00,0.04,0,0.04,0.00
-45.00,-0.098255,66.00,-45.00,-0.059955,66.00,0.00,-0.04,0.00,0.04,0.00,0.04,0.00
-48.00,-0.081506,66.00,-48.00,-0.047845,66.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00
-51.00,-0.065595,66.00,-51.00,-0.036860,66.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00
-54.00,-0.051234,66.00,-54.00,-0.027593,66.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00
-57.00,-0.038021,66.00,-57.00,-0.019490,66.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00
-60.00,-0.026171,66.00,-60.00,-0.012571,66.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
-63.00,-0.016424,66.00,-63.00,-0.007346,66.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
-66.00,-0.008727,66.00,-66.00,-0.003493,66.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
-69.00,-0.003347,66.00,-69.00,-0.001010,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-72.00,-0.000542,66.00,-72.00,0.000054,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-75,0.000001,66,-75,0.000001,66,0,0,0,0,0,0,0
75,0.000001,63,75,0.000001,63,0,0,0,0,0,0,0
72.00,-0.000795,63.00,72.00,-0.000415,63.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69.00,-0.003402,63.00,69.00,-0.002017,63.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66.00,-0.008759,63.00,66.00,-0.005786,63.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63.00,-0.016306,63.00,63.00,-0.011253,63.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
60.00,-0.026475,63.00,60.00,-0.018950,63.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
57.00,-0.039268,63.00,57.00,-0.028963,63.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
54.00,-0.053781,63.00,54.00,-0.040459,63.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
51.00,-0.070641,63.00,51.00,-0.054114,63.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00
48.00,-0.089413,63.00,48.00,-0.069522,63.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00
45.00,-0.110132,63.00,45.00,-0.086735,63.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00
42.00,-0.132611,63.00,42.00,-0.105571,63.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00
39.00,-0.157212,63.00,39.00,-0.126395,63.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00
36.00,-0.183100,63.00,36.00,-0.148371,63.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00
33.00,-0.210418,63.00,33.00,-0.171649,63.00,0.00,-0.04,0.00,0.04,0.00,0.04,0.00
30.00,-0.238737,63.00,30,-0.195817,63.00,0.00,-0.04,0.00,0.04,0.00,0.04,0.00
27.00,-0.266749,63.00,27.00,-0.219580,63.00,0.00,-0.05,0.00,0.05,0.00,0.05,0.00
24.00,-0.295131,63.00,24.00,-0.243650,63.00,0.00,-0.05,0.00,0.05,0.00,0.05,0.00
21.00,-0.322130,63.00,21.00,-0.266299,63.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00
18.00,-0.347979,63.00,18.00,-0.287805,63.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00
15.00,-0.371734,63.00,15.00,-0.307265,63.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00
12.00,-0.392864,63.00,12.00,-0.324196,63.00,0.00,-0.07,0.00,0.07,0.00,0.07,0.00
9.00,-0.410961,63.00,9.00,-0.338230,63.00,0.00,-0.07,0.00,0.07,0.00,0.07,0.00
6.00,-0.425863,63.00,6.00,-0.349251,63.00,0.00,-0.08,0.00,0.08,0.00,0.08,0.00
3.00,-0.436679,63.00,3.00,-0.356410,63.00,0.00,-0.08,0.00,0.08,0.00,0.08,0.00
-0.002731,-0.443546,63.00,0.000101,-0.359890,63.00,0.00,-0.08,0.00,0.08,0.00,0.08,0.00
-3.00,-0.446414,63.00,-3.00,-0.359696,63.00,0.00,-0.09,0.00,0.09,0.00,0.09,0.00
-6.00,-0.444893,63.00,-6.00,-0.355500,63.00,0.00,-0.09,0.00,0.09,0.00,0.09,0.00
-9.00,-0.439362,63.00,-9.00,-0.347747,63.00,0.00,-0.09,0.00,0.09,0.00,0.09,0.00
-12.00,-0.429487,63.00,-12.00,-0.336176,63.00,0.00,-0.09,0.00,0.09,0.00,0.09,0.00
-15.00,-0.415960,63.00,-15.00,-0.321560,63.00,0.00,-0.09,0.00,0.09,0.00,0.09,0.00
-18.00,-0.399187,63.00,-18.00,-0.304361,63.00,0.00,-0.09,0.00,0.09,0.00,0.09,0.00
-21.00,-0.378886,63.00,-21.00,-0.284362,63.00,0.00,-0.09,0.00,0.09,0.00,0.09,0.00
-24.00,-0.356056,63.00,-24.00,-0.262604,63.00,0.00,-0.09,0.00,0.09,0.00,0.09,0.00
-27.00,-0.331069,63.00,-27.00,-0.239495,63.00,0.00,-0.09,0.00,0.09,0.00,0.09,0.00
-30.00,-0.304421,63.00,-30,-0.215564,63.00,0.00,-0.09,0.00,0.09,0.00,0.09,0.00
-33.00,-0.276459,63.00,-33.00,-0.191170,63.00,0.00,-0.09,0.00,0.09,0.00,0.09,0.00
-36.00,-0.248038,63.00,-36.00,-0.167177,63.00,0.00,-0.08,0.00,0.08,0.00,0.08,0.00
-39,-0.219445,63.00,-39.00,-0.143848,63.00,0.00,-0.08,0.00,0.08,0.00,0.08,0.00
-42.00,-0.191127,63.00,-42.00,-0.121599,63.00,0.00,-0.07,0.00,0.07,0.00,0.07,0.00
-45.00,-0.163562,63.00,-45.00,-0.100832,63.00,0,-0.06,0.00,0.06,0,0.06,0.00
-48.00,-0.137204,63.00,-48.00,-0.081908,63.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00
-51.00,-0.111687,63.00,-51.00,-0.064314,63.00,0.00,-0.05,0.00,0.05,0.00,0.05,0.00
-54.00,-0.087947,63.00,-54.00,-0.048796,63.00,0.00,-0.04,0.00,0.04,0.00,0.04,0.00
-57.00,-0.066183,63.00,-57.00,-0.035303,63.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00
-60.00,-0.046777,63.00,-60.00,-0.023912,63.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00
-63.00,-0.029952,63.00,-63.00,-0.014480,63.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00
-66.00,-0.016473,63.00,-66.00,-0.007367,63.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
-69.00,-0.006854,63.00,-69.00,-0.002661,63.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-72.00,-0.001547,63.00,-72.00,-0.000453,63.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-75,0.000001,63,-75,0.000001,63,0,0,0,0,0,0,0
75,0.000001,60,75,0.000001,60,0,0,0,0,0,0,0
72.00,-0.001315,60.00,72.00,-0.000746,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69.00,-0.006012,60.00,69.00,-0.003919,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66.00,-0.014692,60.00,66.00,-0.010257,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63.00,-0.026570,60.00,63.00,-0.019119,60.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
60.00,-0.042089,60.00,60.00,-0.031090,60.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
57.00,-0.060607,60.00,57.00,-0.045651,60.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00
54.00,-0.082367,60.00,54.00,-0.063135,60.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00
51.00,-0.106730,60.00,51.00,-0.082973,60.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00
48.00,-0.133499,60.00,48.00,-0.105011,60.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00
45.00,-0.162986,60.00,45.00,-0.129585,60.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00
42.00,-0.194426,60.00,42.00,-0.155938,60.00,0.00,-0.04,0.00,0.04,0.00,0.04,0.00
