x,y,z,diff_x,diff_y,diff_z,d_x,d_y,d_z,d_n,di_x,di_y,di_z,f_m,f_x,f_y,f_z
27.01,-1.29,42.02,27.01,-1.13,42.02,0.00,-0.16,0.00,0.16,0.00,0.16,0.00,0,0,0,0
24.01,-1.41,42.02,24.01,-1.23,42.02,0.00,-0.18,0.00,0.18,0.00,0.18,0.00,0,0,0,0
21.01,-1.52,42.03,21.01,-1.33,42.03,0.00,-0.19,0.00,0.19,0.00,0.19,0.00,0,0,0,0
18.01,-1.63,42.04,18.01,-1.42,42.03,0.00,-0.21,0.01,0.21,0.00,0.21,0.01,0,0,0,0
15.01,-1.73,42.04,15.01,-1.51,42.04,0.00,-0.22,0.01,0.22,0.00,0.22,0.01,0,0,0,0
12.01,-1.82,42.05,12.01,-1.59,42.04,0.00,-0.24,0.01,0.24,0.00,0.24,0.01,0,0,0,0
9.00,-1.90,42.05,9.01,-1.65,42.04,0.00,-0.25,0.01,0.25,0.00,0.25,0.01,0,0,0,0
6.00,-1.96,42.05,6.00,-1.69,42.05,0.00,-0.27,0.01,0.27,0.00,0.27,0.01,0,0,0,0
3.00,-2.01,42.06,3.00,-1.72,42.05,0.00,-0.28,0.01,0.28,0.00,0.28,0.01,0,0,0,0
-0.005485,-2.03,42.06,-0.000404,-1.73,42.05,-0.01,-0.30,0.01,0.30,0.01,0.30,0.01,0,0,0,0
-3.01,-2.04,42.06,-3.00,-1.73,42.05,-0.01,-0.31,0.01,0.31,0.01,0.31,0.01,0,0,0,0
-6.01,-2.03,42.06,-6.01,-1.70,42.05,-0.01,-0.33,0.01,0.33,0.01,0.33,0.01,0,0,0,0
-9.01,-2.00,42.05,-9.01,-1.66,42.04,-0.01,-0.34,0.01,0.34,0.01,0.34,0.01,0,0,0,0
-12.02,-1.95,42.05,-12.01,-1.60,42.04,-0.01,-0.35,0.01,0.35,0.01,0.35,0.01,0,0,0,0
-15.02,-1.89,42.04,-15.01,-1.53,42.04,-0.01,-0.36,0.01,0.36,0.01,0.36,0.01,0,0,0,0
-18.02,-1.81,42.04,-18.01,-1.45,42.03,-0.01,-0.36,0.01,0.36,0.01,0.36,0.01,0,0,0,0
-21.02,-1.72,42.03,-21.01,-1.36,42.03,-0.01,-0.37,0.00,0.37,0.01,0.37,0.00,0,0,0,0
-24.02,-1.63,42.03,-24.01,-1.26,42.02,-0.01,-0.37,0.00,0.37,0.01,0.37,0.00,0,0,0,0
-27.02,-1.52,42.02,-27.01,-1.16,42.02,-0.01,-0.37,0.00,0.37,0.01,0.37,0.00,0,0,0,0
-30.02,-1.41,42.02,-30.01,-1.05,42.01,-0.01,-0.36,0.00,0.36,0.01,0.36,0.00,0,0,0,0
-33.02,-1.30,42.01,-33.01,-0.944131,42.01,-0.01,-0.35,0.00,0.35,0.01,0.35,0.00,0,0,0,0
-36.01,-1.18,42.01,-36.01,-0.839779,42.01,-0.01,-0.34,0.00,0.34,0.01,0.34,0.00,0,0,0,0
-39.01,-1.06,42.01,-39.01,-0.738086,42.01,-0.01,-0.32,0.00,0.32,0.01,0.32,0.00,0,0,0,0
-42.01,-0.939152,42.00,-42.00,-0.640425,42.00,-0.01,-0.30,0.00,0.30,0.01,0.30,0.00,0,0,0,0
-45.01,-0.820758,42.00,-45.00,-0.547381,42.00,0.00,-0.27,0.00,0.27,0.00,0.27,0.00,0,0,0,0
-48.00,-0.703995,42.00,-48.00,-0.459467,42.00,0.00,-0.24,0.00,0.24,0.00,0.24,0.00,0,0,0,0
-51.00,-0.590384,42.00,-51.00,-0.377607,42.00,0.00,-0.21,0.00,0.21,0.00,0.21,0.00,0,0,0,0
-54.00,-0.480753,42.00,-54.00,-0.301831,42.00,0.00,-0.18,0.00,0.18,0.00,0.18,0.00,0,0,0,0
-57.00,-0.376836,42.00,-57.00,-0.232834,42.00,0.00,-0.14,0.00,0.14,0.00,0.14,0.00,0,0,0,0
-60.00,-0.279991,42.00,-60.00,-0.170730,42.00,0.00,-0.11,0.00,0.11,0.00,0.11,0.00,0,0,0,0
-63.00,-0.192563,42.00,-63.00,-0.116362,42.00,0.00,-0.08,0.00,0.08,0.00,0.08,0.00,0,0,0,0
-66.00,-0.117324,42.00,-66.00,-0.070769,42.00,0.00,-0.05,0.00,0.05,0.00,0.05,0.00,0,0,0,0
-69.00,-0.056482,42.00,-69.00,-0.034135,42.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00,0,0,0,0
-72.00,-0.015358,42.00,-72.00,-0.009440,42.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
-75,0.000001,42,-75,0.000001,42,0,0,0,0,0,0,0,37.12,-33.57,1.95,15.72
75,0.000000,39,75,0.000000,39,0,0,0,0,0,0,0,33.03,29.43,1.54,14.91
72.00,-0.012880,39.00,72.00,-0.011108,39.00,0.00,0.00,0,0.00,0.00,0.00,0,0,0,0,0
69.00,-0.046504,39.00,69.00,-0.039782,39.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
66.00,-0.094402,39.00,66.00,-0.080382,39.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
63.00,-0.154360,39.00,63.00,-0.131322,39.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00,0,0,0,0
60.00,-0.224662,39.00,60.00,-0.191362,39.00,0.00,-0.03,0,0.03,0.00,0.03,0,0,0,0,0
57.00,-0.304333,39.00,57.00,-0.259893,39,0.00,-0.04,0.00,0.04,0.00,0.04,0.00,0,0,0,0
54.00,-0.392420,39.00,54.00,-0.336248,39.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00,0,0,0,0
51.00,-0.488615,39.00,51.00,-0.420329,39.00,0.00,-0.07,0.00,0.07,0.00,0.07,0.00,0,0,0,0
48.00,-0.592660,39.00,48.00,-0.512027,39.00,0.00,-0.08,0.00,0.08,0.00,0.08,0.00,0,0,0,0
45.00,-0.703798,39.00,45.00,-0.610675,39.00,0.00,-0.09,0.00,0.09,0.00,0.09,0.00,0,0,0,0
42.00,-0.821791,39.01,42.01,-0.716053,39.00,0.00,-0.11,0.00,0.11,0.00,0.11,0.00,0,0,0,0
39.01,-0.946180,39.01,39.01,-0.827690,39.01,0.00,-0.12,0.00,0.12,0.00,0.12,0.00,0,0,0,0
36.01,-1.08,39.01,36.01,-0.944746,39.01,0.00,-0.13,0.00,0.13,0.00,0.13,0.00,0,0,0,0
33.01,-1.21,39.02,33.01,-1.07,39.01,0.00,-0.14,0.00,0.14,0.00,0.14,0.00,0,0,0,0
30.01,-1.35,39.02,30.01,-1.19,39.02,0.00,-0.16,0.00,0.16,0.00,0.16,0.00,0,0,0,0
27.01,-1.49,39.03,27.01,-1.32,39.02,0.00,-0.17,0.00,0.17,0.00,0.17,0.00,0,0,0,0
24.01,-1.63,39.03,24.02,-1.44,39.03,0.00,-0.19,0.00,0.19,0.00,0.19,0.00,0,0,0,0
21.01,-1.77,39.04,21.02,-1.56,39.03,0.00,-0.20,0.01,0.20,0.00,0.20,0.01,0,0,0,0
18.01,-1.90,39.05,18.02,-1.68,39.04,0.00,-0.22,0.01,0.22,0.00,0.22,0.01,0,0,0,0
15.01,-2.02,39.06,15.01,-1.79,39.05,0.00,-0.23,0.01,0.23,0.00,0.23,0.01,0,0,0,0
12.01,-2.13,39.06,12.01,-1.88,39.06,0.00,-0.25,0.01,0.25,0.00,0.25,0.01,0,0,0,0
9.01,-2.23,39.07,9.01,-1.96,39.06,0.00,-0.26,0.01,0.26,0.00,0.26,0.01,0,0,0,0
6.00,-2.30,39.08,6.01,-2.02,39.07,0.00,-0.28,0.01,0.28,0.00,0.28,0.01,0,0,0,0
3.00,-2.36,39.08,3.00,-2.06,39.07,0.00,-0.30,0.01,0.30,0.00,0.30,0.01,0,0,0,0
-0.005351,-2.39,39.08,-0.000605,-2.08,39.07,0.00,-0.31,0.01,0.31,0.00,0.31,0.01,0,0,0,0
-3.01,-2.39,39.08,-3.01,-2.07,39.07,-0.01,-0.33,0.01,0.33,0.01,0.33,0.01,0,0,0,0
-6.01,-2.38,39.08,-6.01,-2.04,39.07,-0.01,-0.34,0.01,0.34,0.01,0.34,0.01,0,0,0,0
-9.02,-2.34,39.07,-9.01,-1.98,39.06,-0.01,-0.36,0.01,0.36,0.01,0.36,0.01,0,0,0,0
-12.02,-2.28,39.07,-12.01,-1.91,39.06,-0.01,-0.37,0.01,0.37,0.01,0.37,0.01,0,0,0,0
-15.02,-2.20,39.06,-15.02,-1.82,39.05,-0.01,-0.38,0.01,0.38,0.01,0.38,0.01,0,0,0,0
-18.03,-2.10,39.05,-18.02,-1.72,39.04,-0.01,-0.39,0.01,0.39,0.01,0.39,0.01,0,0,0,0
-21.03,-2.00,39.04,-21.02,-1.60,39.04,-0.01,-0.39,0.01,0.39,0.01,0.39,0.01,0,0,0,0
-24.03,-1.88,39.03,-24.02,-1.48,39.03,-0.01,-0.40,0.00,0.40,0.01,0.40,0.00,0,0,0,0
-27.02,-1.75,39.03,-27.01,-1.36,39.02,-0.01,-0.40,0.00,0.40,0.01,0.40,0.00,0,0,0,0
-30.02,-1.62,39.02,-30.01,-1.23,39.02,-0.01,-0.39,0.00,0.39,0.01,0.39,0.00,0,0,0,0
-33.02,-1.49,39.02,-33.01,-1.10,39.01,-0.01,-0.38,0.00,0.38,0.01,0.38,0.00,0,0,0,0
-36.02,-1.35,39.01,-36.01,-0.978667,39.01,-0.01,-0.37,0.00,0.37,0.01,0.37,0.00,0,0,0,0
-39.01,-1.21,39.01,-39.01,-0.859225,39.01,-0.01,-0.35,0.00,0.35,0.01,0.35,0.00,0,0,0,0
-42.01,-1.08,39.00,-42.01,-0.745057,39.01,-0.01,-0.33,0.00,0.33,0.01,0.33,0.00,0,0,0,0
-45.01,-0.940063,39.00,-45.00,-0.637076,39.00,-0.01,-0.30,0.00,0.30,0.01,0.30,0.00,0,0,0,0
-48.01,-0.807180,39.00,-48.00,-0.535546,39.00,0.00,-0.27,0.00,0.27,0.00,0.27,0.00,0,0,0,0
-51.00,-0.677890,39.00,-51.00,-0.441043,39.00,0.00,-0.24,0.00,0.24,0.00,0.24,0.00,0,0,0,0
-54.00,-0.553340,39.00,-54.00,-0.353784,39.00,0.00,-0.20,0.00,0.20,0.00,0.20,0.00,0,0,0,0
-57.00,-0.435125,39.00,-57.00,-0.274215,39.00,0.00,-0.16,0.00,0.16,0.00,0.16,0.00,0,0,0,0
-60.00,-0.325276,39.00,-60.00,-0.202940,39.00,0.00,-0.12,0.00,0.12,0.00,0.12,0.00,0,0,0,0
-63.00,-0.225216,39.00,-63.00,-0.139724,39.00,0.00,-0.09,0.00,0.09,0.00,0.09,0.00,0,0,0,0
-66.00,-0.138156,39.00,-66.00,-0.085805,39.00,0.00,-0.05,0.00,0.05,0.00,0.05,0.00,0,0,0,0
-69.00,-0.067803,39.00,-69.00,-0.042613,39.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00,0,0,0,0
-72.00,-0.018825,39.00,-72.00,-0.012129,39.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
-75,0.000000,39,-75,0.000000,39,0,0,0,0,0,0,0,36.16,-32.10,1.58,16.58
75,0.000000,36,75,0.000000,36,0,0,0,0,0,0,0,30.07,26.36,0.968557,14.43
72.00,-0.015791,36.00,72.00,-0.013889,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
69.00,-0.055647,36.00,69.00,-0.048489,36.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
66.00,-0.110491,36.00,66.00,-0.095609,36.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
63.00,-0.178819,36.00,63.00,-0.154428,36.00,0.00,-0.02,0,0.02,0.00,0.02,0,0,0,0,0
60.00,-0.258014,36,60.00,-0.222846,36.00,0.00,-0.04,0.00,0.04,0.00,0.04,0.00,0,0,0,0
57.00,-0.347520,36.00,57.00,-0.300707,36.00,0.00,-0.05,0.00,0.05,0.00,0.05,0.00,0,0,0,0
54.00,-0.446329,36.00,54.00,-0.387302,36.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00,0,0,0,0
51.00,-0.554412,36.00,51.00,-0.482830,36.00,0.00,-0.07,0.00,0.07,0.00,0.07,0.00,0,0,0,0
48.00,-0.671311,36.00,48.00,-0.586997,36.00,0.00,-0.08,0.00,0.08,0.00,0.08,0.00,0,0,0,0
45.00,-0.796844,36.01,45.01,-0.699709,36.00,0.00,-0.10,0.00,0.10,0.00,0.10,0.00,0,0,0,0
42.01,-0.930638,36.01,42.01,-0.820635,36.01,0.00,-0.11,0.00,0.11,0.00,0.11,0.00,0,0,0,0
39.01,-1.07,36.01,39.01,-0.949727,36.01,0.00,-0.12,0.00,0.12,0.00,0.12,0.00,0,0,0,0
36.01,-1.22,36.01,36.01,-1.09,36.01,0.00,-0.14,0.00,0.14,0.00,0.14,0.00,0,0,0,0
33.01,-1.38,36.02,33.01,-1.23,36.02,0.00,-0.15,0.00,0.15,0.00,0.15,0.00,0,0,0,0
30.02,-1.54,36.03,30.02,-1.38,36.02,0.00,-0.16,0.00,0.16,0.00,0.16,0.00,0,0,0,0
27.02,-1.70,36.03,27.02,-1.53,36.03,0.00,-0.18,0.00,0.18,0.00,0.18,0.00,0,0,0,0
24.02,-1.87,36.04,24.02,-1.68,36.04,0.00,-0.19,0.00,0.19,0.00,0.19,0.00,0,0,0,0
21.02,-2.03,36.05,21.02,-1.83,36.05,0.00,-0.21,0.01,0.21,0.00,0.21,0.01,0,0,0,0
18.02,-2.20,36.06,18.02,-1.97,36.06,0.00,-0.22,0.01,0.22,0.00,0.22,0.01,0,0,0,0
15.02,-2.35,36.07,15.02,-2.11,36.07,0.00,-0.24,0.01,0.24,0.00,0.24,0.01,0,0,0,0
12.02,-2.49,36.09,12.02,-2.24,36.08,0.00,-0.25,0.01,0.25,0.00,0.25,0.01,0,0,0,0
9.01,-2.61,36.10,9.01,-2.34,36.09,0.00,-0.27,0.01,0.27,0.00,0.27,0.01,0,0,0,0
6.01,-2.70,36.10,6.01,-2.42,36.09,0.00,-0.28,0.01,0.28,0.00,0.28,0.01,0,0,0,0
3.00,-2.77,36.11,3.00,-2.47,36.10,0.00,-0.30,0.01,0.30,0.00,0.30,0.01,0,0,0,0
-0.006829,-2.81,36.11,-0.003000,-2.49,36.10,0.00,-0.32,0.01,0.32,0.00,0.32,0.01,0,0,0,0
-3.01,-2.81,36.11,-3.01,-2.48,36.10,0.00,-0.34,0.01,0.34,0.00,0.34,0.01,0,0,0,0
-6.02,-2.79,36.10,-6.01,-2.43,36.10,-0.01,-0.35,0.01,0.35,0.01,0.35,0.01,0,0,0,0
-9.03,-2.73,36.10,-9.02,-2.36,36.09,-0.01,-0.37,0.01,0.37,0.01,0.37,0.01,0,0,0,0
-12.03,-2.65,36.09,-12.02,-2.27,36.08,-0.01,-0.38,0.01,0.38,0.01,0.38,0.01,0,0,0,0
-15.03,-2.55,36.08,-15.02,-2.15,36.07,-0.01,-0.40,0.01,0.40,0.01,0.40,0.01,0,0,0,0
-18.04,-2.43,36.07,-18.03,-2.02,36.06,-0.01,-0.41,0.01,0.41,0.01,0.41,0.01,0,0,0,0
-21.04,-2.29,36.06,-21.02,-1.88,36.05,-0.01,-0.42,0.01,0.42,0.01,0.42,0.01,0,0,0,0
-24.03,-2.15,36.05,-24.02,-1.73,36.04,-0.01,-0.42,0.00,0.42,0.01,0.42,0.00,0,0,0,0
-27.03,-2.00,36.04,-27.02,-1.57,36.03,-0.01,-0.43,0.00,0.43,0.01,0.43,0.00,0,0,0,0
-30.03,-1.85,36.03,-30.02,-1.42,36.02,-0.01,-0.42,0.00,0.42,0.01,0.42,0.00,0,0,0,0
-33.03,-1.69,36.02,-33.02,-1.27,36.02,-0.01,-0.42,0.00,0.42,0.01,0.42,0.00,0,0,0,0
-36.02,-1.53,36.01,-36.01,-1.13,36.01,-0.01,-0.40,0.00,0.40,0.01,0.40,0.00,0,0,0,0
-39.02,-1.37,36.01,-39.01,-0.988328,36.01,-0.01,-0.38,0.00,0.38,0.01,0.38,0.00,0,0,0,0
-42.02,-1.22,36.01,-42.01,-0.856142,36.01,-0.01,-0.36,0.00,0.36,0.01,0.36,0.00,0,0,0,0
-45.01,-1.06,36.00,-45.01,-0.731561,36.00,-0.01,-0.33,0.00,0.33,0.01,0.33,0.00,0,0,0,0
-48.01,-0.913699,36.00,-48.00,-0.615526,36.00,-0.01,-0.30,0.00,0.30,0.01,0.30,0.00,0,0,0,0
-51.01,-0.768065,36.00,-51.00,-0.507587,36.00,0.00,-0.26,0.00,0.26,0.00,0.26,0.00,0,0,0,0
-54.00,-0.628297,36.00,-54.00,-0.408469,36.00,0.00,-0.22,0.00,0.22,0.00,0.22,0.00,0,0,0,0
-57.00,-0.495551,36.00,-57.00,-0.317999,36.00,0.00,-0.18,0.00,0.18,0.00,0.18,0.00,0,0,0,0
-60,-0.371974,36.00,-60.00,-0.236770,36,0.00,-0.14,0.00,0.14,0.00,0.14,0.00,0,0,0,0
-63.00,-0.259338,36.00,-63.00,-0.164682,36.00,0.00,-0.09,0.00,0.09,0.00,0.09,0.00,0,0,0,0
-66.00,-0.160596,36.00,-66.00,-0.102527,36.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00,0,0,0,0
-69.00,-0.080030,36.00,-69.00,-0.052025,36.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00,0,0,0,0
-72.00,-0.022284,36.00,-72.00,-0.014816,36.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
-75,0.000000,36,-75,0.000000,36,0,0,0,0,0,0,0,32.36,-28.82,1.06,14.68
75,0.000000,33,75,0.000000,33,0,0,0,0,0,0,0,27.55,25.03,0.688985,11.47
72.00,-0.018782,33.00,72.00,-0.016770,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
69.00,-0.065182,33.00,69.00,-0.057644,33.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
66.00,-0.128044,33.00,66.00,-0.112423,33.00,0.00,-0.02,0,0.02,0.00,0.02,0,0,0,0,0
63.00,-0.204143,33.00,63.00,-0.178610,33.00,0.00,-0.03,0,0.03,0.00,0.03,0,0,0,0,0
60.00,-0.292350,33.00,60.00,-0.255637,33.00,0.00,-0.04,0.00,0.04,0.00,0.04,0.00,0,0,0,0
57.00,-0.391454,33.00,57.00,-0.342714,33.00,0.00,-0.05,0.00,0.05,0.00,0.05,0.00,0,0,0,0
54.00,-0.501136,33.00,54.00,-0.439845,33.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00,0,0,0,0
51.00,-0.621277,33.00,51.00,-0.547151,33.00,0.00,-0.07,0.00,0.07,0.00,0.07,0.00,0,0,0,0
48.00,-0.751514,33.00,48.00,-0.664440,33.00,0.00,-0.09,0.00,0.09,0.00,0.09,0.00,0,0,0,0
45.01,-0.892031,33.01,45.01,-0.792004,33.01,0.00,-0.10,0.00,0.10,0.00,0.10,0.00,0,0,0,0
42.01,-1.04,33.01,42.01,-0.929994,33.01,0.00,-0.11,0.00,0.11,0.00,0.11,0.00,0,0,0,0
39.01,-1.20,33.01,39.01,-1.08,33.01,0.00,-0.13,0.00,0.13,0.00,0.13,0.00,0,0,0,0
36.02,-1.37,33.02,36.02,-1.24,33.01,0.00,-0.14,0.00,0.14,0.00,0.14,0.00,0,0,0,0
33.02,-1.55,33.02,33.02,-1.40,33.02,0.00,-0.15,0.00,0.15,0.00,0.15,0.00,0,0,0,0
30.02,-1.74,33.03,30.02,-1.58,33.03,0.00,-0.17,0.00,0.17,0.00,0.17,0.00,0,0,0,0
27.03,-1.93,33.04,27.03,-1.76,33.04,0.00,-0.18,0.00,0.18,0.00,0.18,0.00,0,0,0,0
24.03,-2.13,33.05,24.03,-1.94,33.05,0.00,-0.19,0.01,0.19,0.00,0.19,0.01,0,0,0,0
21.03,-2.34,33.07,21.03,-2.13,33.06,0.00,-0.21,0.01,0.21,0.00,0.21,0.01,0,0,0,0
18.03,-2.54,33.08,18.03,-2.32,33.08,0.00,-0.22,0.01,0.22,0.00,0.22,0.01,0,0,0,0
15.03,-2.73,33.10,15.03,-2.50,33.09,0,-0.24,0.01,0.24,0,0.24,0.01,0,0,0,0
12.03,-2.91,33.12,12.03,-2.66,33.11,0.00,-0.25,0.01,0.25,0.00,0.25,0.01,0,0,0,0
9.02,-3.07,33.13,9.02,-2.80,33.12,0.00,-0.27,0.01,0.27,0.00,0.27,0.01,0,0,0,0
6.01,-3.19,33.14,6.01,-2.91,33.14,0.00,-0.28,0.01,0.28,0.00,0.28,0.01,0,0,0,0
3.00,-3.27,33.15,3.00,-2.97,33.14,0.00,-0.30,0.01,0.30,0.00,0.30,0.01,0,0,0,0
-0.009250,-3.32,33.15,-0.006728,-3.00,33.14,0.00,-0.32,0.01,0.32,0.00,0.32,0.01,0,0,0,0
-3.02,-3.32,33.15,-3.02,-2.98,33.14,0.00,-0.34,0.01,0.34,0.00,0.34,0.01,0,0,0,0
-6.03,-3.28,33.14,-6.02,-2.92,33.14,-0.01,-0.35,0.01,0.35,0.01,0.35,0.01,0,0,0,0
-9.04,-3.20,33.13,-9.03,-2.83,33.12,-0.01,-0.37,0.01,0.37,0.01,0.37,0.01,0,0,0,0
-12.04,-3.09,33.12,-12.03,-2.70,33.11,-0.01,-0.39,0.01,0.39,0.01,0.39,0.01,0,0,0,0
-15.05,-2.95,33.10,-15.04,-2.55,33.10,-0.01,-0.41,0.01,0.41,0.01,0.41,0.01,0,0,0,0
-18.05,-2.80,33.09,-18.04,-2.38,33.08,-0.01,-0.42,0.01,0.42,0.01,0.42,0.01,0,0,0,0
-21.05,-2.63,33.07,-21.04,-2.19,33.07,-0.01,-0.44,0.01,0.44,0.01,0.44,0.01,0,0,0,0
-24.05,-2.45,33.06,-24.03,-2.00,33.05,-0.01,-0.45,0.01,0.45,0.01,0.45,0.01,0,0,0,0
-27.04,-2.27,33.05,-27.03,-1.82,33.04,-0.01,-0.45,0.00,0.45,0.01,0.45,0.00,0,0,0,0
-30.04,-2.08,33.03,-30.03,-1.63,33.03,-0.01,-0.45,0.00,0.45,0.01,0.45,0.00,0,0,0,0
-33.03,-1.90,33.03,-33.02,-1.46,33.02,-0.01,-0.44,0.00,0.45,0.01,0.44,0.00,0,0,0,0
-36.03,-1.72,33.02,-36.02,-1.29,33.02,-0.01,-0.43,0.00,0.43,0.01,0.43,0.00,0,0,0,0
-39.03,-1.54,33.01,-39.01,-1.12,33.01,-0.01,-0.42,0.00,0.42,0.01,0.42,0.00,0,0,0,0
-42.02,-1.36,33.01,-42.01,-0.972439,33.01,-0.01,-0.39,0.00,0.39,0.01,0.39,0.00,0,0,0,0
-45.02,-1.19,33.01,-45.01,-0.830218,33.01,-0.01,-0.36,0.00,0.36,0.01,0.36,0.00,0,0,0,0
-48.01,-1.02,33.00,-48.01,-0.698243,33.00,-0.01,-0.32,0.00,0.32,0.01,0.32,0.00,0,0,0,0
-51.01,-0.860177,33.00,-51.00,-0.576606,33.00,-0.01,-0.28,0.00,0.28,0.01,0.28,0.00,0,0,0,0
-54.01,-0.704742,33.00,-54.00,-0.465076,33.00,0.00,-0.24,0.00,0.24,0.00,0.24,0.00,0,0,0,0
-57.00,-0.557543,33.00,-57.00,-0.363723,33.00,0.00,-0.19,0.00,0.19,0.00,0.19,0.00,0,0,0,0
-60.00,-0.420101,33.00,-60.00,-0.272304,33.00,0.00,-0.15,0.00,0.15,0.00,0.15,0.00,0,0,0,0
-63.00,-0.294832,33.00,-63.00,-0.191216,33.00,0.00,-0.10,0.00,0.10,0.00,0.10,0.00,0,0,0,0
-66.00,-0.184322,33.00,-66.00,-0.120650,33.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00,0,0,0,0
-69.00,-0.092935,33.00,-69.00,-0.062169,33.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00,0,0,0,0
-72.00,-0.026404,33.00,-72.00,-0.018188,33.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
-75,0.000000,33,-75,0.000000,33,0,0,0,0,0,0,0,30.26,-27.69,1.11,12.16
75,0.000000,30,75,0.000000,30,0,0,0,0,0,0,0,26.28,24.17,0.840755,10.29
72.00,-0.022123,30.00,72.00,-0.020025,30.00,0.00,0.00,0,0.00,0.00,0.00,0,0,0,0,0
69.00,-0.075367,30.00,69.00,-0.067511,30.00,0.00,-0.01,0,0.01,0.00,0.01,0,0,0,0,0
66.00,-0.145571,30.00,66.00,-0.129337,30.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00,0,0,0,0
63.00,-0.230326,30,63.00,-0.203864,30.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00,0,0,0,0
60.00,-0.327136,30.00,60.00,-0.289187,30.00,0.00,-0.04,0.00,0.04,0.00,0.04,0.00,0,0,0,0
57.00,-0.435960,30.00,57.00,-0.385714,30.00,0.00,-0.05,0.00,0.05,0.00,0.05,0.00,0,0,0,0
54.00,-0.556543,30.00,54.00,-0.493526,30.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00,0,0,0,0
51.00,-0.688625,30.00,51.00,-0.612628,30.00,0.00,-0.08,0.00,0.08,0.00,0.08,0.00,0,0,0,0
48.01,-0.832614,30.01,48.01,-0.743602,30.00,0.00,-0.09,0.00,0.09,0.00,0.09,0.00,0,0,0,0
45.01,-0.988805,30.01,45.01,-0.886873,30.01,0.00,-0.10,0.00,0.10,0.00,0.10,0.00,0,0,0,0
42.01,-1.16,30.01,42.01,-1.04,30.01,0.00,-0.11,0.00,0.11,0.00,0.11,0.00,0,0,0,0
39.02,-1.34,30.02,39.02,-1.21,30.01,0.00,-0.13,0.00,0.13,0.00,0.13,0.00,0,0,0,0
36.02,-1.53,30.02,36.02,-1.39,30.02,0.00,-0.14,0.00,0.14,0.00,0.14,0.00,0,0,0,0
33.03,-1.74,30.03,33.03,-1.59,30.03,0.00,-0.15,0.00,0.15,0.00,0.15,0.00,0,0,0,0
30.03,-1.96,30.04,30.03,-1.79,30.03,0.00,-0.17,0.00,0.17,0.00,0.17,0.00,0,0,0,0
27.04,-2.19,30.05,27.04,-2.01,30.05,0.00,-0.18,0.00,0.18,0.00,0.18,0.00,0,0,0,0
24.04,-2.43,30.07,24.04,-2.24,30.06,0.00,-0.19,0.00,0.19,0.00,0.19,0.00,0,0,0,0
21.05,-2.68,30.09,21.05,-2.48,30.08,0.00,-0.20,0.01,0.20,0.00,0.20,0.01,0,0,0,0
18.05,-2.94,30.11,18.05,-2.72,30.10,0.00,-0.22,0.01,0.22,0.00,0.22,0.01,0,0,0,0
15.05,-3.19,30.14,15.04,-2.96,30.13,0.00,-0.23,0.01,0.23,0.00,0.23,0.01,0,0,0,0
12.04,-3.43,30.16,12.04,-3.18,30.16,0.00,-0.25,0.01,0.25,0.00,0.25,0.01,0,0,0,0
9.03,-3.63,30.19,9.03,-3.37,30.18,0.00,-0.26,0.01,0.26,0.00,0.26,0.01,0,0,0,0
6.02,-3.80,30.20,6.02,-3.52,30.20,0.00,-0.28,0.01,0.28,0.00,0.28,0.01,0,0,0,0
3.00,-3.91,30.22,3.00,-3.61,30.21,0.00,-0.29,0.01,0.30,0.00,0.29,0.01,0,0,0,0
-0.016976,-3.96,30.22,-0.016983,-3.64,30.21,0.00,-0.31,0.01,0.31,0.00,0.31,0.01,0,0,0,0
-3.03,-3.95,30.21,-3.03,-3.61,30.21,0.00,-0.33,0.01,0.33,0.00,0.33,0.01,0,0,0,0
-6.04,-3.88,30.20,-6.04,-3.53,30.19,0.00,-0.35,0.01,0.35,0.00,0.35,0.01,0,0,0,0
