x,y,z,diff_x,diff_y,diff_z,d_x,d_y,d_z,d_n,di_x,di_y,di_z,f_m,f_x,f_y,f_z
51.00,-0.004920,72.00,51.00,-0.003546,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
48.00,-0.006338,72.00,48.00,-0.004714,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
45.00,-0.008353,72.00,45.00,-0.006472,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
42.00,-0.010339,72.00,42.00,-0.008188,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
39.00,-0.013217,72.00,39.00,-0.010771,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
36.00,-0.016189,72.00,36.00,-0.013429,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
33.00,-0.019125,72.00,33.00,-0.016039,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
30.00,-0.022730,72.00,30.00,-0.019309,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
27.00,-0.025718,72.00,27.00,-0.021941,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
24.00,-0.029121,72.00,24.00,-0.024963,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
21.00,-0.032493,72.00,21.00,-0.027937,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
18.00,-0.035702,72.00,18.00,-0.030738,72.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0,0,0,0
15.00,-0.039091,72.00,15.00,-0.033728,72.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
12.00,-0.041678,71.99,12.00,-0.035931,72.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
9.00,-0.044023,71.99,9.00,-0.037908,71.99,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
6.00,-0.045666,71.99,6.00,-0.039205,71.99,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
3.00,-0.047018,71.99,3.00,-0.040231,71.99,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
-0.000745,-0.047442,71.99,0.000091,-0.040356,71.99,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
-3.00,-0.047325,71.99,-3.00,-0.039973,71.99,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
-6.00,-0.046916,71.99,-6.00,-0.039334,71.99,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
-9.00,-0.045537,71.99,-9.00,-0.037774,71.99,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
-12.00,-0.043825,71.99,-12.00,-0.035933,72.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
-15,-0.041532,71.99,-15.00,-0.033574,72.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
-18.00,-0.038969,72.00,-18.00,-0.031009,72.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
-21.00,-0.035742,72.00,-21.00,-0.027851,72.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
-24.00,-0.032932,72.00,-24.00,-0.025178,72.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
-27.00,-0.029746,72.00,-27.00,-0.022198,72.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
-30.00,-0.026844,72.00,-30.00,-0.019569,72.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
-33.00,-0.023205,72.00,-33.00,-0.016274,72.00,0,-0.01,0.00,0.01,0,0.01,0.00,0,0,0,0
-36.00,-0.019973,72.00,-36.00,-0.013464,72.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
-39.00,-0.016817,72.00,-39.00,-0.010798,72.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
-42.00,-0.014313,72.00,-42.00,-0.008835,72.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
-45.00,-0.011937,72.00,-45.00,-0.007036,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
-48.00,-0.009433,72.00,-48.00,-0.005146,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
-51.00,-0.007419,72.00,-51.00,-0.003774,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
-54.00,-0.005512,72.00,-54.00,-0.002530,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
-57.00,-0.004104,72.00,-57.00,-0.001785,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
-60.00,-0.002833,72.00,-60.00,-0.001154,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
-63.00,-0.001787,72.00,-63.00,-0.000692,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
-66.00,-0.000590,72.00,-66.00,0.000011,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
-69.00,-0.000014,72.00,-69.00,0.000227,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
-72.00,-0.000287,72.00,-72.00,-0.000233,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
