x,y,z,diff_x,diff_y,diff_z,d_x,d_y,d_z,d_n,di_x,di_y,di_z
51.00,-0.005253,72.00,51.00,-0.003820,72.00,-3.000000E-4,-1.433160E-3,-2.000000E-4,0.00,0.00,0.00,0.00
48.00,-0.006818,72.00,48.00,-0.005138,72.00,-4.000000E-4,-1.679670E-3,-2.000000E-4,0.00,0.00,0.00,0.00
45.00,-0.008570,72.00,45.00,-0.006636,72.00,-4.000000E-4,-1.933900E-3,-2.000000E-4,0.00,0.00,0.00,0.00
42.00,-0.010892,72.00,42.00,-0.008691,72.00,-4.000000E-4,-2.201300E-3,-2.000000E-4,0.00,0.00,0.00,0.00
39.00,-0.013452,72.00,39.00,-0.010957,72.00,-5.000000E-4,-2.494900E-3,-3.000000E-4,0.00,0.00,0.00,0.00
36.00,-0.016481,72.00,36.00,-0.013674,72.00,-5.000000E-4,-2.807400E-3,-3.000000E-4,0.00,0.00,0.00,0.00
33.00,-0.019969,72.00,33.00,-0.016844,72.00,-5.000000E-4,-3.124600E-3,-3.000000E-4,0.00,0.00,0.00,0.00
30.00,-0.023318,72.00,30.00,-0.019870,72.00,-6.000000E-4,-3.448200E-3,-3.000000E-4,0.00,0.00,0.00,0.00
27.00,-0.026684,72.00,27.00,-0.022896,72.00,-6.000000E-4,-3.788000E-3,-3.000000E-4,0.00,0.00,0.00,0.00
24.00,-0.030447,72.00,24.00,-0.026306,72.00,-7.000000E-4,-4.140500E-3,-4.000000E-4,0.00,0.00,0.00,0.00
21.00,-0.034072,72.00,21.00,-0.029570,72.00,-7.000000E-4,-4.502000E-3,-5.000000E-4,0.00,0.00,0.00,0.00
18.00,-0.037465,72.00,18.00,-0.032596,72.00,-8.000000E-4,-4.868900E-3,-5.000000E-4,0.00,0.00,0.00,0.00
15.00,-0.040838,71.99,15.00,-0.035610,72.00,-7.000000E-4,-5.228400E-3,-5.000000E-4,0.01,0.00,0.01,0.00
12.00,-0.043602,71.99,12.00,-0.038027,71.99,-8.000000E-4,-5.575300E-3,-5.000000E-4,0.01,0.00,0.01,0.00
9.00,-0.046083,71.99,9.00,-0.040172,71.99,-8.100000E-4,-5.910900E-3,-6.000000E-4,0.01,0.00,0.01,0.00
6.00,-0.048017,71.99,6.00,-0.041786,71.99,-8.200000E-4,-6.230900E-3,-6.000000E-4,0.01,0.00,0.01,0.00
3.00,-0.049425,71.99,3.00,-0.042896,71.99,-8.100000E-4,-6.529300E-3,-7.000000E-4,0.01,0.00,0.01,0.00
-0.000686,-0.050096,71.99,0.000110,-0.043298,71.99,-7.965520E-4,-6.798000E-3,-7.000000E-4,0.01,0.00,0.01,0.00
-3.00,-0.050142,71.99,-3.00,-0.043119,71.99,-7.700000E-4,-7.023000E-3,-8.000000E-4,0.01,0.00,0.01,0.00
-6.00,-0.050163,71.99,-6.00,-0.042960,71.99,-7.300000E-4,-7.203000E-3,-8.000000E-4,0.01,0.00,0.01,0.00
-9.00,-0.048405,71.99,-9.00,-0.041075,71.99,-6.800000E-4,-7.329900E-3,-8.000000E-4,0.01,0.00,0.01,0.00
-12.00,-0.046692,71.99,-12.00,-0.039286,71.99,-7.000000E-4,-7.405600E-3,-8.000000E-4,0.01,0.00,0.01,0.00
-15,-0.044232,71.99,-15.00,-0.036803,72.00,-5.000000E-4,-7.429700E-3,-9.000000E-4,0.01,0.00,0.01,0.00
-18.00,-0.041569,71.99,-18.00,-0.034162,72.00,-5.000000E-4,-7.406700E-3,-9.000000E-4,0.01,0.00,0.01,0.00
-21.00,-0.038451,72.00,-21.00,-0.031120,72.00,-4.000000E-4,-7.330800E-3,-1.000000E-3,0.01,0.00,0.01,0.00
-24.00,-0.035501,72.00,-24.00,-0.028306,72.00,-2.000000E-4,-7.195000E-3,-9.000000E-4,0.01,0.00,0.01,0.00
-27.00,-0.032062,72.00,-27.00,-0.025061,72.00,-2.000000E-4,-7.001000E-3,-8.000000E-4,0.01,0.00,0.01,0.00
-30.00,-0.028661,72.00,-30.00,-0.021908,72.00,-1.000000E-4,-6.752400E-3,-8.000000E-4,0.01,0.00,0.01,0.00
